"","Date","Run","Channel","Filename","pH","Lpc","Leq","Lz","filetype"
"1","3/16/2023","1","C2","SDR_799_resp_Plate1.csv",7,0.001322651,0.000980245,0.001183663,"SDR_data"
"2","3/16/2023","1","D1","SDR_799_resp_Plate1.csv",7,0.001140314,0.001141818,0.001057666,"SDR_data"
"3","3/16/2023","1","D1","SDR_979_resp_Plate3.csv",7,-0.00265301,-0.00265301,-0.003091543,"SDR_data"
"4","3/16/2023","1","D3","SDR_873_resp_Plate2.csv",7,-0.004417647,-0.007133465,-0.007133465,"SDR_data"
"5","3/16/2023","1","D4","SDR_873_resp_Plate2.csv",7,-0.007528071,-0.008680846,-0.008234474,"SDR_data"
"6","3/16/2023","1","D4","SDR_979_resp_Plate3.csv",7,-0.004845212,-0.004845212,-0.007279842,"SDR_data"
"7","3/16/2023","1","A5","SDR_979_resp_Plate3.csv",7.5,-0.001150786,-0.000309272,-0.000309272,"SDR_data"
"8","3/16/2023","1","B3","SDR_799_resp_Plate1.csv",7.5,-0.004304125,-0.002382979,-0.002333756,"SDR_data"
"9","3/16/2023","1","B5","SDR_979_resp_Plate3.csv",7.5,-0.001718962,-0.001718962,-0.002682176,"SDR_data"
"10","3/16/2023","1","B6","SDR_873_resp_Plate2.csv",7.5,-0.00568202,-0.005287288,-0.004750871,"SDR_data"
"11","3/16/2023","1","C5","SDR_873_resp_Plate2.csv",7.5,-0.012188636,-0.012188636,-0.005876671,"SDR_data"
"12","3/16/2023","1","D3","SDR_799_resp_Plate1.csv",7.5,-0.003919416,-0.002705828,-0.002569338,"SDR_data"
"13","3/16/2023","1","A4","SDR_799_resp_Plate1.csv",8,-0.001630291,-0.001851128,-0.002769767,"SDR_data"
"14","3/16/2023","1","A6","SDR_873_resp_Plate2.csv",8,-0.004564539,-0.005468038,-0.005468038,"SDR_data"
"15","3/16/2023","1","C6","SDR_873_resp_Plate2.csv",8,-0.00704647,-0.006655383,-0.008913168,"SDR_data"
"16","3/16/2023","1","D3","SDR_979_resp_Plate3.csv",8,0.000282227,0.000282227,0.000565587,"SDR_data"
"17","3/16/2023","1","D4","SDR_799_resp_Plate1.csv",8,-0.00953377,-0.009535488,-0.009535488,"SDR_data"
"18","3/16/2023","1","D5","SDR_979_resp_Plate3.csv",8,-0.008376815,-0.005527347,-0.005527347,"SDR_data"
"19","4/12/2023","1","A3","SDR_799_resp_Plate1.csv",7,-0.022332461,-0.022298206,-0.022030853,"SDR_data"
"20","4/12/2023","1","A4","SDR_979_resp_Plate3.csv",7,-0.013909127,-0.014188058,-0.013885609,"SDR_data"
"21","4/12/2023","1","B4","SDR_799_resp_Plate1.csv",7,-0.005591218,-0.00560011,-0.006032648,"SDR_data"
"22","4/12/2023","1","C5","SDR_873_resp_Plate2.csv",7,-0.018082083,-0.017235475,-0.017235475,"SDR_data"
"23","4/12/2023","1","D1","SDR_979_resp_Plate3.csv",7,-0.015372445,-0.015361798,-0.015361798,"SDR_data"
"24","4/12/2023","1","D5","SDR_873_resp_Plate2.csv",7,-0.021024673,-0.020797813,-0.020797813,"SDR_data"
"25","4/12/2023","1","A1","SDR_979_resp_Plate3.csv",7.5,-0.013155256,-0.013144323,-0.013144323,"SDR_data"
"26","4/12/2023","1","B2","SDR_979_resp_Plate3.csv",7.5,-0.01455417,-0.01451746,-0.014857143,"SDR_data"
"27","4/12/2023","1","B4","SDR_979_resp_Plate3.csv",7.5,-0.01381978,-0.014681097,-0.014681097,"SDR_data"
"28","4/12/2023","1","C4","SDR_799_resp_Plate1.csv",7.5,-0.016908998,-0.016931365,-0.016931365,"SDR_data"
"29","4/12/2023","1","C5","SDR_799_resp_Plate1.csv",7.5,-0.016856382,-0.016856382,-0.01750377,"SDR_data"
