"","Date","pH","Run","filetype","Channel","Filename","Lpc","Leq","Lz","alpha","Fed_Unfed","Food","pH_parents","Replicate","Chamber_tank","Number","Plate","Num_indivs","Date_formatted.x","BLANK.mean_Lpc","n","Date_formatted.y","resp_blankStand"
"1","3/16/2023",7,"1","SDR_data","A6","SDR_799_resp_Plate1.csv",-0.000203125987935996,-0.000203125987935996,-0.000316055781809242,0.4,NA,NA,8,NA,"14",2,1,14,"20230316",0.0029864296304794,4,"20230316",-0.00278330364254341
"2","3/16/2023",7,"1","SDR_data","A2","SDR_799_resp_Plate1.csv",-0.000655970295094762,0.00089425087108011,0.00089425087108011,0.4,NA,NA,8,NA,"13",1,1,15,"20230316",0.0029864296304794,4,"20230316",-0.00233045933538464
"3","3/16/2023",7,"1","SDR_data","A5","SDR_799_resp_Plate1.csv",-6.66122096696945e-05,-0.000319163763066201,-0.000319163763066201,0.4,NA,NA,8,NA,"14",1,1,14,"20230316",0.0029864296304794,4,"20230316",-0.00291981742080971
"4","3/16/2023",7,"1","SDR_data","A3","SDR_799_resp_Plate1.csv",-1.66363283697696e-05,9.77135040062315e-05,0.00023728813559332,0.4,NA,NA,8,NA,"13",2,1,15,"20230316",0.0029864296304794,4,"20230316",-0.00296979330210963
"5","3/16/2023",7,"1","SDR_data","C1","SDR_799_resp_Plate1.csv",-0.00148427989633468,-0.00157469316189368,-0.00157469316189368,0.4,NA,NA,8,NA,"13",3,1,15,"20230316",0.0029864296304794,4,"20230316",-0.00150214973414472
"6","3/16/2023",7,"1","SDR_data","B4","SDR_799_resp_Plate1.csv",-0.0027000228937729,-0.0027000228937729,-0.00094553654024053,0.4,NA,NA,8,NA,"14",3,1,14,"20230316",0.0029864296304794,4,"20230316",-0.000286406736706503
"7","3/16/2023",7.5,"1","SDR_data","A2","SDR_979_resp_Plate3.csv",-0.000518386149640648,-0.000349524754742968,-0.000349524754742968,0.4,NA,NA,7.5,NA,"10",1,3,17,"20230316",0.00285058924652983,3,"20230316",-0.00233220309688919
"8","3/16/2023",7.5,"1","SDR_data","C6","SDR_799_resp_Plate1.csv",-0.00108322057689149,-0.00108322057689149,-0.00249907729049081,0.4,NA,NA,8,NA,"9",2,1,12,"20230316",0.00285058924652983,3,"20230316",-0.00176736866963834
"9","3/16/2023",7.5,"1","SDR_data","B1","SDR_799_resp_Plate1.csv",-0.00106502037288552,-0.000968221317325015,-0.000968221317325015,0.4,NA,NA,8,NA,"8",2,1,19,"20230316",0.00285058924652983,3,"20230316",-0.00178556887364431
"10","3/16/2023",8,"1","SDR_data","C3","SDR_873_resp_Plate2.csv",-0.00109257906272829,-0.00051818112558636,-0.00051818112558636,0.4,NA,NA,7.5,NA,"4",2,2,10,"20230316",0.0033103248765609,4,"20230316",-0.00221774581383261
"11","3/16/2023",8,"1","SDR_data","B3","SDR_873_resp_Plate2.csv",-0.00149801873833256,-0.00244228329809722,-0.00107589781562386,0.4,NA,NA,7.5,NA,"4",1,2,10,"20230316",0.0033103248765609,4,"20230316",-0.00181230613822834
"12","3/16/2023",8,"1","SDR_data","A1","SDR_873_resp_Plate2.csv",-0.00097489610007978,-0.000966464725425064,-0.00130131332082548,0.4,NA,NA,7.5,NA,"5",1,2,13,"20230316",0.0033103248765609,4,"20230316",-0.00233542877648112
